account,flag
a17249,0
a03683,1
a22146,0
a26056,1
a13971,0
a25712,1
a00325,0
a25941,0
a09111,0
a04235,0
a24461,0
a23650,0
a22397,0
a25833,0
a14681,0
a19111,0
a16250,0
a09244,1
a06238,0
a25873,0
a08218,0
a15131,0
a04079,1
a18367,0
a30702,0
a11812,0
a12146,0
a13162,0
a30789,0
a18877,0
a18783,0
a05883,0
a24636,0
a16949,0
a11183,0
a04390,0
a08835,0
a18686,0
a12319,0
a17808,0
a06130,0
a19748,0
a23203,0
a08609,0
a03478,0
a03358,0
a00834,1
a12610,1
a17547,0
a23116,1
a23020,1
a25781,1
a18008,1
a10607,0
a16565,0
a24345,0
a11572,0
a08021,0
a25270,0
a24751,1
a20339,0
a27512,1
a10175,0
a03517,0
a19230,0
a14046,0
a12310,0
a27909,0
a14687,0
a30741,0
a17050,1
a07301,0
a06272,0
a31203,0
a20033,0
a01650,0
a26300,1
a27620,0
a04276,0
a00486,0
a18559,1
a03461,0
a10351,0
a09360,0
a27193,0
a06112,0
a18043,0
a23087,0
a08179,0
a10733,0
a20292,0
a20776,0
a27641,0
a13706,0
a07934,0
a01647,0
a05021,0
a18028,0
a22470,1
a19952,0
a13312,0
a19402,0
a03682,0
a01123,0
a04073,0
a26176,1
a15053,0
a28085,0
a07869,0
a00739,0
a10397,0
a29909,0
a00822,0
a24789,1
a24091,0
a05107,1
a03064,0
a09881,1
a07903,1
a03336,0
a01880,0
a29269,0
a25286,0
a29668,0
a05392,0
a12312,0
a27576,0
a11208,0
a28923,0
a17478,0
a21604,0
a17731,0
a16075,1
a05897,0
a18132,0
a12648,0
a31246,0
a05529,0
a24210,0
a24341,0
a16970,0
a05951,0
a09753,0
a21944,0
a25164,0
a12560,0
a03962,0
a00221,0
a24959,0
a21949,0
a01413,0
a05264,0
a08046,0
a10059,0
a13290,0
a19606,1
a13825,0
a23138,0
a31323,0
a08833,1
a03154,0
a16636,0
a02200,0
a15903,0
a08269,0
a30644,0
a29701,1
a29423,0
a02241,0
a17180,1
a15706,0
a09619,1
a09457,0
a00137,0
a18042,0
a21469,0
a02042,1
a28139,0
a19354,0
a25325,0
a14575,0
a20761,0
a04891,0
a06023,0
a13720,0
a04929,0
a30034,0
a26155,0
a28396,1
a28409,0
a28828,0
a23403,0
a28442,1
a23878,0
a29347,0
a05188,0
a30287,0
a21578,0
a21771,0
a23931,0
a25498,0
a13746,0
a12996,0
a00944,0
a18190,0
a30104,0
a24862,0
a27262,0
a05018,0
a10720,0
a24543,0
a23122,0
a23836,0
a31345,0
a21534,0
a00891,0
a26913,0
a19016,1
a10579,0
a15322,0
a09879,0
a01019,0
a27366,0
a07056,0
a30158,0
a13179,0
a09430,0
a22479,0
a12765,0
a24234,1
a24858,0
a11312,1
a02960,0
a04998,0
a23859,0
a11797,0
a14691,0
a14014,0
a17371,0
a22788,0
a11563,0
a08248,0
a19828,0
a06331,0
a11555,0
a06233,0
a00131,0
a21827,0
a05966,0
a25126,0
a26982,0
a07360,1
a14853,0
a02589,0
a07533,0
a25092,0
a03494,1
a00464,0
a20484,0
a26645,1
a08874,0
a03036,0
a06735,0
a03229,0
a07442,0
a26308,0
a24353,0
a16332,0
a05707,0
a27474,0
a21795,0
a00213,0
a14485,0
a10632,0
a05463,0
a25313,0
a24818,0
a06199,0
a11741,0
a20714,0
a18936,1
a02757,0
a16976,0
a29832,0
a25409,0
a04853,1
a19430,0
a15860,0
a28300,0
a06892,0
a07631,0
a27138,0
a19202,0
a27425,0
a08820,0
a03901,0
a20328,0
a07617,0
a00745,0
a23043,0
a28083,0
a01289,0
a17747,0
a28536,0
a30371,0
a07488,0
a15333,0
a25927,0
a25735,1
a15327,0
a00076,0
a06054,0
a05097,0
a04398,0
a13514,0
a25232,0
a03884,0
a17185,0
a25937,0
a06970,0
a27862,0
a05749,0
a25998,0
a26093,0
a28935,1
a22583,0
a12556,0
a26967,0
a22128,0
a21169,1
a17795,0
a26343,1
a09086,0
a19336,0
a16421,0
a12361,0
a13868,0
a27911,0
a16217,0
a14967,0
a22707,0
a28218,0
a09322,0
a16100,1
a10494,0
a00531,0
a05828,1
a05362,0
a16389,0
a03755,0
a22051,1
a19733,0
a11847,0
a17955,0
a04160,0
a00345,1
a30015,0
a12247,1
a02135,0
a23192,0
a27086,0
a05999,0
a01374,0
a17281,1
a20617,0
a28506,0
a16220,0
a22688,0
a22208,1
a11768,0
a04801,0
a00451,0
a01975,1
a04112,0
a17537,0
a11751,1
a25815,0
a09373,0
a29592,0
a25197,0
a30304,0
a21197,0
a31185,0
a18929,0
a28876,0
a10001,0
a19880,0
a08243,1
a07701,0
a00264,0
a22134,0
a18110,0
a15885,0
a31213,1
a09002,1
a17373,0
a04937,0
a14415,0
a23075,0
a18099,0
a18251,0
a11758,0
a26314,0
a06078,0
a21603,0
a30610,0
a06543,0
a00245,0
a24384,0
a14554,0
a19159,0
a17265,0
a14657,0
a07245,0
a25785,0
a06504,0
a18574,1
a18816,0
a21629,0
a25246,1
a20477,0
a30586,0
a15417,0
a22981,1
a17047,0
a12046,0
a13132,0
a14816,0
a11202,0
a06478,0
a29480,0
a26490,0
a12135,0
a14384,0
a23256,0
a31100,0
a21129,0
a18413,1
a19745,0
a21736,0
a30798,0
a24597,0
a19069,0
a27866,0
a19031,0
a23980,0
a22946,0
a00821,0
a30984,0
a09773,0
a29629,0
a24739,0
a22624,0
a16021,0
a22344,0
a07975,0
a18703,0
a15357,0
a12747,0
a28222,0
a02763,0
a24296,0
a09265,0
a02110,0
a00197,1
a14190,0
